x1,x2,x3,x4,cls
32.69440177689318,50.68520881431784,29.181726150731258,88.7012739027251,c2
13.868276254966863,76.4150766893548,22.556327137226184,18.43658219445884,c2
47.686937960178554,50.987176656800635,22.962349494905983,76.30822808405394,c2
84.07142187511269,89.6245795088439,4.5990479677773735,37.49602189548724,c1
54.7337184230073,90.36022855261237,16.122514915889465,39.871063949734946,c1
44.44655979346502,43.25960628182917,22.548943502703167,78.63630577302526,c2
37.555618054503896,26.87551216664733,47.08036271996899,82.7280249506715,c2
92.05229719692215,73.35648295397141,12.391065543756866,75.49696754775998,c1
76.26866855605796,86.56598577346051,7.127318155383722,66.39661020031461,c1
67.07843858396613,51.41304486112098,43.1714304176449,75.20299699027979,c1
44.826817817969406,62.61697979771523,17.230060094341656,64.40892186548096,c2
41.40867821935689,89.95760476263533,10.050617097809464,24.40874000927466,c1
50.85319213378621,64.8624680538977,3.7870204837702213,37.62513980195858,c2
57.57847824676027,73.44965518789733,30.85402890559373,74.76799694481574,c1
68.06856615393492,52.41963427091791,43.654769853748896,90.79352955617992,c1
88.908840476242,63.72419522015213,16.860878368190924,88.33665220909826,c1
75.0066705608319,88.21539624392416,6.311844400887416,43.962828591432746,c1
55.67906309268834,66.9530434392154,3.08915070971633,40.0701964956309,c2
44.4850687608622,51.41304486112098,21.90298748573029,82.79858515871501,c2
32.375657140384654,23.98754710062227,52.60559588170677,71.65216363421442,c2
65.87701649251095,82.61720430912229,22.870071294720745,47.97184865926511,c1
48.16729045424716,82.555089486505,14.495013677386003,47.41900579212017,c1
76.95303204032624,54.57992044812477,29.78353113489995,84.78563699682661,c1
59.49491234522496,66.78278895553552,2.251276197040518,53.968557061931136,c2
37.769797142836545,26.039581361062986,51.64236327998793,88.34847286250762,c2
61.52564740497155,64.36704621567314,5.4071983974842235,64.76172290569846,c2
29.877622251548658,49.27598813083028,33.99142740215822,90.2534166234758,c2
32.42108906821279,63.174516458557065,19.1863355375105,50.12320757976667,c2
82.1409255132726,93.10113864701944,5.171128868977105,39.04725533520645,c1
55.700264659008134,69.68646982005411,0.31361061451310646,22.221919128545053,c2
62.64630162473227,80.9524522258435,18.998083012040407,45.3849441246806,c1
26.58705262171069,52.86873192215441,34.175802873328024,74.28589614192057,c2
19.040304610258964,3.128192271568999,90.21474572985547,62.44578411849749,c2
40.11062313855295,12.156170134744261,65.4950782949577,73.15711466943088,c2
45.137774123993104,94.04558329934481,21.15002046223103,13.627394818916677,c1
29.90141992803006,6.557978199942373,74.09912335494433,52.67465015412313,c2
67.02146838875306,32.29559171852257,41.259181079975015,66.37296889349591,c1
37.54624321225364,26.256234868866628,44.562862127641246,72.72211462396683,c2
83.99498085368758,36.28328849341621,34.65569603894286,80.63513280049465,c1
80.67772898052196,78.69162235684593,14.520860706054666,69.90025187084572,c1
34.022744809582534,94.63417737149528,30.625282701876067,28.853305691189973,c1
56.394363556382466,76.39187717729293,17.849957998578414,68.11333278776472,c1
